Image number,Image File name,Item in image,True item  Location,Annotator,ChatGPT 4o prediction,ChatGPT 4o prediction2,ChatGPT 4o prediction3,ChatGPT 4o prediction4
112,IMAGE_112.jpg,Electric Guitar,"left, center, close",Joon,,,,left center near
113,IMAGE_113.jpg,Cat,"right, center, medium",Ayan,,,,right center near
114,IMAGE_114.jpg,Trash Can,"center, center, close",Joon,,,,left center near
115,IMAGE_115.jpg,Sriracha Bottle,"right, center, medium",Joon,,,,center center medium
116,IMAGE_116.jpg,Globe,"center, center, close",Ayan,,,,center center medium
117,IMAGE_117.jpg,Shoes,"center, center, medium",Joon,,,,left center near
118,IMAGE_118.jpg,Candy,"center, center, close ",Joon,,,,center bottom near
119,IMAGE_119.png,Hat,"center, center, close",Duncan,,,,center bottom near
120,IMAGE_120.png,Paraglider,"left, center, medium",Duncan,,,,center top medium
121,IMAGE_121.png,Cross,"center, center, medium",Duncan,,,,center center medium
122,IMAGE_122.png,Cows,"center, center, far",Duncan,,,,right center far
123,IMAGE_123.png,Lamp Post,"left, center, close",Duncan,,,,left center near
124,IMAGE_124.png,Crane,"center, center, medium",Duncan,,,,left center medium
125,IMAGE_125.png,Jack-o-Lantern,"left, bottom, close",Duncan,,,,left bottom near
126,IMAGE_126.jpg,Sheep,"center, center, medium",Duncan,,,,center bottom medium
127,IMAGE_127.jpg,Tea Cup,"right, bottom, close",Duncan,,,,center bottom near
128,IMAGE_128.jpg,Skull,"center, center, close",Duncan,,,,center top near
129,IMAGE_129.jpg,Person,"center, center, medium",Duncan,,,,center bottom medium
130,IMAGE_130.jpg,Person,"center, center, medium",Duncan,,,,center bottom medium
131,IMAGE_131.jpg,Memory Cards,"center, center, close",Duncan,,,,left center near
132,IMAGE_132.jpg,Boat,"center, center, medium",Duncan,,,,center bottom near
133,IMAGE_133.jpg,Window,"center, top, medium",Duncan,,,,center top far
134,IMAGE_134.jpg,Person,"center, center, close",Duncan,,,,center center near
135,IMAGE_135.jpg,Rings,"center, center, close",Duncan,,,,center center near
136,IMAGE_136.jpg,Fireplace,"center, center, medium",Duncan,,,,center bottom near
